id;title;description_RU;description_EN;
Healing3;;Деревенские благодарны вам за лечение и разносят вести о вас до самых дальних ферм и деревень. Видимо, добрые дела – весьма неплохая реклама.;Peasants are grateful for your cures and spread rumors about you even to the furthest villages. Good deeds are a good advertisement!;
Voice3;;В деревне появилась труппа бродячих артистов во главе с коровой. Она поет детские песни и даже пытается декламировать высоким слогом!;The village now has its very own minstrel band, lead by a singing cow. They call themselves “The Moosique Spiral” (thinking of changing the name).;
Curse3;;С людьми и животными происходит все больше несчастных случаев. Люди шепчутся, что виноваты в том вы и ваш кот.;Misfortune befalls both people and livestock. Some whisper that it's the doing of a certain witch and her damn cat.;
Chameleon4;;В округе все чаще загадочным образом пропадают вещи. И люди. И животные. И деньги из казны. Может, цена на зелья внимания теперь поднимется?;Things go missing way too often in the village and are nowhere to be found. People. Animals. And money from the king's treasury! Seems like the demand for perception potions should be on the rise; you better stock up.;
Laughter5;;В соседней деревне похороны. Уважаемый всеми староста умер от смеха.;There was a funeral today. A respectable townsman died from laughter.;
Beauty3;;Красота местных селянок (и коров) гремит на весь свет. Для баланса (и вашего кошелька) было бы неплохо, чтобы и селяне-мужчины захаживали к вам почаще.;Local wenches (and more than one cow) rival princesses in their beauty. Would be nice if the men used these potions too – or at least bathed more often. Magic can only do so much.;
Strength3;;В кабаке случилась драка, и один мужик нечаянно переломал другому ребра. Их бы силу да в мирное русло…;A tavern brawl yesterday came to a gruesome end when one man punched another so hard he broke every rib.;
Sleep3;;Торговец мукой заснул на облучке телеги и проснулся в другом городе. Погода виновата – так говорят, зевая, старики.;The flour merchant fell asleep on his cart and woke up in the next town over. Old men blame the weather.;
Placebo5;;Народ считает, что вы просто наливаете подкрашенную воду в бутылки, и платить вам совершенно не обязательно.;People think you're just bottling colored water and that you do not deserve their hard-earned money.;
random-1;A present;Кто-то оставил сверток у порога вашего дома. К нему прилагалась записка: «Всего хорошего и спасибо за помощь!» Привет из прошлого?;Someone's left a present at your door. The note says 'Your help was most satisfactory'. It seems the past is catching up with you.;
random-tax_collector;;Минувший урожай был обильным, а цены на зерно и мясо держались высоко как никогда. И вот, если верить слухам, королевский сборщик налогов уже спешит на помощь местным жителям. А то, чего доброго, захворают от алчности!;The harvest was bountiful, with grain and meat prices rising higher than ever. And now the rumor goes that the royal tax collector is already in a hurry to visit the local peasants before they waste their riches on frivolities – like new clothes or metal tools.;
random-2;Stormy weather;Ветер рвет тяжелые тучи. Сверкает молния, но грома не слышно. Прекрасная ночь для кошмарных снов.;Heavy wind rips the leaden clouds apart. Flashes of lightning shatter the sky yet the thunder never comes. Nights like this bring nightmares.;
random-3;Drunken prophet;То тут, то там в разговорах местных жителей всплывает ваше имя. Вы многим помогли, и это не осталось незамеченным. Впрочем, еще рано почивать на лаврах. Да и стоит ли вообще радоваться такой известности?;Here and there your name comes up in the conversations of local people. You have helped many, and it has not gone unnoticed. Don't get too comfortable with your newfound fame though – it's not always a good thing.;
Painter_1_Laughter;;Судя по всему, Гоффридус решил сменить стиль – раньше его работы восхищали и удивляли, а сейчас лишь смешат, как ни пытается растерянный мастер объяснить, что это «серьезное, высокое искусство»! Но даже такая слава – это слава.;The esteemed artist Goddfridus changed his style quite radically, or so it seems. His works, which used to amaze and awe, now make people laugh – despite artist's efforts to convince them it's 'serious, high art'. Well, fame is still fame.;
Painter_1_Beauty;;Местным художникам приходится нелегко – новые картины Гоффридуса настолько притягивают взгляд, что на другие произведения никто не хочет смотреть. Слава его растет, как и зависть коллег.;Local artists have fallen on hard times – Goddfridus's new paintings are so enthralling that no one spares a glance for other works. His prestige grows – and so does the jealousy of his peers.;
Painter_1_Numb;;Из мастерской Гоффридуса весь день доносилась ругань – новые краски художника слишком быстро застывают, и он не успевает ничего нарисовать. Говорят, что иногда даже кисточку не удается достать из них!;People on the street could hear Goddfridus cursing and screaming in his workshop the whole day. Apparently his new paints dry too fast for him to do any work – sometimes with his expensive brushes still inside.;
Painter_1_Unlove;;Нечто странное появилось в новых картинах Гоффридуса. Люди не могут объяснить конкретно, но все согласны, что видят в работах что-то мерзкое и противное. С каждым днем все больше людей убеждается, что его талант иссяк.;Goddfridus's new paintings are weird and unsettling. No one can say exactly why but everyone agrees they look creepy and repulsive. Every day more and more of his fans become convinced he's washed up.;
BlacksmithDied;;В деревне помер единственный кузнец, на котором держалась большая семья. Жители очень грустят о его смерти. Найти замену мастеру будет непросто.;The village's only blacksmith is dead. As the sole provider for a large family, he will be missed greatly. Finding a new one's gonna be tough.;
BlacksmithKilledAMan;;В пылу спора местный кузнец не рассчитал силы и прибил крестьянина. Если душегуба отправят в тюрьму, туго придется всей деревне – он был единственным мастером на всю округу.;During an argument the local blacksmith killed a man with a single blow. If the lord finds him, it's not just his family that will fall on hard times, but the whole village – he's the only smith around.;
BlacksmithForgot;;В деревне переполох – кузнец забыл, с какой стороны браться за молот. Неясно, вернется ли к нему память. Все это время деревне будет туго.;Another disaster: the village blacksmith forgot how to hold a hammer. Tough times ahead, at least until his memory returns.;
BlacksmithClumsy;;Над местным кузнецом потешается вся деревня. За последний день он успел: уронить молот себе на голову, подпалить волосы, когда разжигал горн, и убить подковой коня местного барона.;The local blacksmith has become the laughing stock for the whole village. Just yesterday he dropped a hammer on his head, set his hair on fire, and killed a nobleman's steed with a horseshoe.;
BlacksmithNumb;;Близлежащая таверна решила сменить название. В ней появилась новая достопримечательность – огромная каменная статуя местного кузнеца. В открытую никто не говорит, какой «мастер» так постарался, но поглядывать на вас стали со страхом и злостью.;A local tavern is now called Smithstonian – renamed after the new tourist attraction – a life-sized statue of the village blacksmith. No one talks openly of the 'sculptor', but the looks that people give you betray their fear and resentment.;
common_gay_event;;У пруда в звездную ночь видели двух здоровых мужиков, которые отчаянно целовались. О времена, о нравы!;The village pond.  A starry sky, mirrored in still waters. Two men on the shore, kissing each other with desperate passion. O tempora! O mores!;
moonshine-stealing-fairies-illness;;Главный поставщик браги в местный трактир слег с болезнью. По слухам, отравился собственным продуктом. Крестьяне слегка приуныли.;The beer supplier for the local tavern has fallen ill,  poisoned by his own stock, or so they say. Folks have been understandably low in spirits.;
HorseRaceReward;;Под утро пришел вдрызг пьяный хозяин лошади, победившей на скачках, и слезливо выражал вам благодарность за помощь. Про обещанный рецепт он вспомнил не сразу. Записано с его слов: «В отвар листьев крапивы вмешать толченую поганку и что-то там еще, хоть убей, не помню, мать моя, как голова болит».;The owner of the winning horse stumbled into your hut early in the morning, overflowing with drink and gratitude. You could barely shake the promised recipe out of him. As told in his own words: 'Add mashed deathcap to nettle decoction, then oh god my head is killing me I'm gonna p'.;
AngryCitizen;;Сегодня в трактире один селянин ругал вас отборной бранью за то, что вы подвели его. Грозился повесить вашего кота.;Someone made a scene in the tavern today, swearing and cursing 'That damn witch, she screwed me, and not in a good way'. They threatened to hang your cat, too!;
ManDiedFromPoison;;В самом расцвете сил скончался один из местных мужиков. Его вдова (и почему-то ее соседка) очень сильно горюют.;A villager in his prime dropped dead. His wife (and, oddly enough, her neighbor) is inconsolable.;
LoveStoryVillagerCurse;;Кошмар! Самый красивый из крестьян (за которым и после замужества активно бегали девки) превратился в страшнющего урода. Единственная, кто не отвернулся от бедняги – бутылка, от которой теперь его не оторвать.;Another local tragedy. A handsome man turned into a disfigured freak overnight. His wife left him and no girl would spare a glance for the poor guy. His only solace now lies at the bottom of the bottle.;
LoveStoryVillagerFlying;;Один из местных мужиков не вернулся с покоса. Его друзья клянутся Богом, что он улетел вместе с косой и ругательствами. Семья (и втайне его соседка) ужасно горюют!;A local man didn't come back from hay-making. His friends swear he flew away clutching his scythe and cursing. His family (and the girl next door, albeit in secret) are beside themselves with grief.;
LoveStoryVillagerRejuvenation;;Ну и ну! От крестьянки сбежал муж. Куда – никто не знает, только соседи говорят, что вместо себя к ней в кровать младенца подсунул!;Hell's Bells! A man left his wife all of a sudden. No one seems to know where he went and why in the world he left a baby in his bed, or for that matter, where the baby came from in the first place.;
LoveStoryVillagerLaughter;;Ночью вся деревня сотрясалась от ругани – крестьянка выгнала из дома своего мужика. И даже после этого он не перестал глупо хихикать. Бедняге пришлось бы плохо, если бы одна из соседок (как-то очень быстро) не забрала его к себе.;A woman kicked her husband from the house. Everyone in the village heard her shouts and his laughter. Why, he even kept laughing afterwards. Good thing a girl next door picked him up before long – some say she seemed too eager even.;
bard.love;;Кажется, местная таверна «Последний заход» открыла весьма амбициозного начинающего музыканта! Густаф – запомните имя этого талантливого поэта и великолепного исполнителя, ибо оно прославится в веках!;A new ambitious musician revealed himself last night to the patrons of The Last Call tavern. Remember the name – Gustav, for this talented poet and amazing performer will surely go down in history!;
bard.curse;;И восхищались посетители таверны «Последний заход» откровенно плохим исполнением барда, и потеряли всякий музыкальный вкус, и не желали более слышать других вагантов.;And so it came to pass that everyone present in The Last Call tavern that fateful night somehow couldn't stop listening to a frankly atrocious bardic performance, completely losing any taste for music as a result, and wouldn't hear any minstrel anymore.;
bard.beauty;;Первый в истории этих земель конкурс красоты и очарования состоялся сегодня вечером в таверне «Последний заход». Ведущий бард Густаф уже принимает заявки на следующий конкурс!;The first ever beauty pageant our fair town has ever seen was held today in 'The Last Call' tavern. The host, famous bard Gustav, is already accepting entries for the next one!;
bard.laughter;;Печально известный бард Густаф, которому так и не удалось снискать славу певца, сменил амплуа! Да-да, встречайте дерзкий, находчивый и смелый паяц Густаф – сегодня и каждый вечер в таверне «Последний заход». Не приходи, если боишься быть осмеянным.;Infamous bard Gustav chose a different role after failing to make it as a singer. You heard it right, folks – bold, clever and outright shameless Gustav – tonight and every night, ready to slice and dice you with his wit in 'The Last Call' tavern. Come if you dare!;
bard.poison;;37 посетителей таверны «Последний заход» получили тяжелое отравление. Многие из них, вероятно, уже не встанут с постели. Почтенная таверна еще долго не оправится от такого удара. Подозрение пало на единственного здорового посетителя – бродячего барда, имя которого неизвестно.;Thirty-seven patrons of 'The Last Call' tavern came down with a severe food poisoning. Expectations are grim for many of them. The reputation of the famed tavern took a heavy hit. Suspicions arose around the sole customer who came unscathed – a wandering bard at large whose name is still unknown.;
bard.flight;;Не дождавшись окончания песни артиста, горожане разлетелись по домам, в прямом смысле этого слова. Видать, нечисть какая-то завелась в наших краях. И творит эта нечисть весьма темные делишки.;The bard's song were still playing when the tavern patrons took off flying to their homes. Something's rotten in our fair village. Or some one.;
bard.healing;;Сегодня ночью в таверне «Последний заход» завязалась большая потасовка, впрочем, как оно часто и бывает. Был убит игравший в таверне неизвестный бродячий артист. Ваше зелье спасло 37 жизней и жизнь трактирщика, но только до следующей ночи, а там – кто знает.;There was a brawl in 'The Last Call' tavern last night, as is tradition. A wandering bard, name unknown, was killed. Your potion saved 37 people and the innkeeper's life. At least until the next night.;
bard.unlove;;Какой-то мелкий артист, имя которого никто никогда не узнает, распугал посетителей таверны «Последний заход». Видимо, его лютня была настолько расстроена, что у завсегдатаев таверны свело зубы, и мужики решили выбить парочку-другую у музыканта.;A conflict arose in 'The Last Call' tavern when some bard's badly tuned lute caused enough tooth pain to the customers who decided to knock out some of the musician's own teeth in revenge.;
mushroom-story-event.2;Сытый покойник;Хозяин постоялого двора поведал об удивительном случае – довелось ему покойника потчевать! И так пришлась мертвецу по вкусу похлебка, что глубже в землю зарылся, утащил с собой мухоморы и поганки. Хозяин яро рекомендует местную ведьму.;The innkeeper tells a curious tale to anyone's willing to listen. Something about a feast for a dead man. The stiff was so pleased with his stew he burrowed deeper into the earth, dragging every deathcap and fly agaric with him. The innkeeper praises the local witch to high heavens.;
Bird_Keeper_1_Poison_Curse;;Проповедники начали говорит о конце света. С неба на город падают мертвые птицы. Многие видят в этом дурной знак, свидетельство поветрия или чего хуже. И лишь бедняки возносят хвалу Господу за бесплатную еду.;Street preachers warn the end of the world is nigh. Birds drop dead from the sky. Some fear it's a bad omen or a sign of a coming plague. The beggars are simply thankful for the free food.;
Bird_Keeper_1_Healing;;Когда вы распахивали окно утром, то увидели стаю голубей, которые летели в разные стороны над городом. Кажется, зелье сработало как надо.;When you opened the window this morning you saw a flock of pigeons flying to every corner of the town. Looks like the potion is working as intended.;
Bird_Keeper_1_Speed;;Теперь в вашем городе можно узнать свежие новости с любого конца света. Голубиная почта даже из самых далеких стран стала доходить всего за день. Правда, не все птички хорошо выдерживают такую нагрузку.;Your town now gets latest news from every corner of the world. Messenger pigeons reach even the furthest lands and come back in just a day. Not every bird can handle the strain though.;
Bird_Keeper_1_Wake;;Теперь в вашем городе можно узнать свежие новости с любого конца света. Благодаря вашей помощи, сил у голубей хватает на самые длительные перелеты.;Your town now gets latest news from every corner of the world. Thanks to you the messenger pigeons can endure even the longest flights.;
Bird_Keeper_1_Foolishness;;Местная голубиная почта вышла из-под контроля. Вместо пересылки новостей и доставки писем птицы нападают на людей в поисках еды. Стража начала устранять проблему. Но город еще какое-то время пробудет в помете и без новостей.;Pigeon mail is out of control. The pigeons refuse to carry messages and attack people like birds of prey instead. The guards are handling the problem, but the guano-covered town will have to do without news for a while.;
Bird_Keeper_1_Numb;;Смотрителя голубятни вышвырнули с работы. Говорят, что он потерял разум и накормил всех птиц отравой. Поев, те замирали на месте как вкопанные. Как водится, многие считают, что тут виновата и местная ведьма.;The pigeon-keeper got kicked out of his job. They say he'd lost his mind and poisoned every bird in his care. Poor things stopped dead in their tracks. As usual, some think the witch is partially to blame.;
Bird_Keeper_1_Sleep;;Горожане стали находить в своих дворах упавших почтовых голубей, которые, как оказалось, заснули в воздухе. Письма, которые они переносили, перепродают – ведь немногие умеют читать.;People are finding in their backyards mail pigeons that apparently fell asleep in the air and dropped down. A black market of letters has formed, since only the chosen few can read them. ;
Gardener_Strength;;Ночью из района знати раздавались грохот и крики, стражники со всего города сбежались туда. Какие-то огромные жуки разломали несколько домов и успели убить пару десятков людей, прежде чем их удалось уничтожить. Откуда они взялись в городе – неизвестно. Ходят слухи, что один из лордов разводил их в своем саду, но не смог контролировать.;Last night every guardsman on duty was alerted and had to report to the Noblemen’s Quarter because of rumbles and shouts that were heard across the town. Some weird giant bugs leveled several houses and killed about two dozens residents before they were surrounded and put to the sword. No one knows where did they come from, although the rumors are they broke loose from a walled-off garden where one of the lords was breeding them.;
Gardener_Poison;;Утром вы нашли под дверью букет цветов с запиской: «Спасибо за помощь, все вредители передохли!»;You found a bouquet of flowers this morning with a note saying: 'The pests are dead, all thanks to you!';
Gardener_Numb;;Вы нашли у себя за окном несколько искусно сделанных каменных насекомых. Рядом лежал цветок красной розы и записка: «Ваше зелье превратило их из неприятной проблемы в красивые украшения».;You've found a bunch of finely crafted stone insects on your windowsill. Next to them was a rose flower with a note: 'A nuisance turned into fine decorations, thanks to your potion'.;
Gardener_Flying;;Горожане жалуются на нашествие насекомых. Огромный рой объедает траву и деревья, и если никто ничего не сделает – зелени не останется вовсе.;Townspeople complain about a pest infestation. The swarm devours tree leaves and grass and will soon consume it all if it isn't stopped.;
Herald_Laughter;;<i>хи-хи-хи-хи хи-хи-хи-хи-хи</i>;<i>eh-hee-hee-he-eh-hee-hee-he-</i>;
Herald_Healing;;Утром вас разбудил звонкий голос с ближайшей площади, который всем рассказывал, какая чудесная и добрая травница живет тут рядом. Слова глашатая звучали приятно, но выспаться он вам не дал.;A loud voice from the town square woke you up. It praised 'oh so kind and wonderful healer who lives nearby'. Nice words from the town crier, but couldn't he wait for five more minutes?;
Peasant_Bear_Strength;;Даже до вас дошли рассказы о невероятной силе крестьянина, который принес в город разорванного пополам медведя. Местные дивятся тому, что он никогда раньше не показывал такой силы.;You've heard peasants talking about an unusually strong man, the one who came back from the forest carrying a bear torn in half. Quite unusual, as he had never shown such feats of strength before.;
Peasant_Bear_Flying;;Дети рассказывают, что видели летающего над лесом крестьянина. Тот вернулся вечером в деревню в ссадинах и синяках, но живой. Молча выплатил проспоренный долг, только буркнул что-то про «глупую ведьму и ее розыгрыши дурацкие».;Children saw a man flying over the forest. Later that evening he came back, bruised and battered but alive. He paid his lost bet without argument, but people heard him muttering something about 'that stupid witch and her silly pranks.';
Peasant_Bear_Love;Роман с медведем;Крестьянин, ушедший искать медведя, вернулся вечером в деревню в ссадинах и синяках, но живой. Молча выплатил проспоренный долг, только буркнул что-то про «глупую ведьму и ее розыгрыши дурацкие».;A wanna-be bear hunter came back, bruised and battered but alive. He paid his lost bet without argument, but people heard him muttering something about 'that stupid witch and her silly pranks.';
Peasant_Bear_Fail;;Крестьянин, ушедший в лес охотиться на медведя, так и не вернулся. Его спорщик, протрезвев, понял, что идея была не лучшая – выплатить-то долг проигравший не сможет!;A wanna-be bear hunter never came back from the forest. His buddy (when he finally got sober) realized the wager was a bad idea in the first place – the loser can't pay him back!;
old_knight_event_1;Мертвый всадник;Минувший турнир омрачен жутким событием. Славный рыцарь, покрывший себя славой и подвигами в былые годы, отдал богу душу, едва забравшись в седло. Скакун унес мертвеца в лес и с тех пор бродит там, пугая лесорубов и крестьян.;A shocking event marked the end of the knight tournament. A famed knight, well-known for his noble deeds and exploits in years past, passed away the moment he climbed into saddle. His steed bolted away and now wanders the forest, still carrying his grim burden.;
old_knight_event_12;Мертвый всадник;Минувший турнир омрачен жутким событием. Славный рыцарь, покрывший себя славой и подвигами в былые годы, потерпел фатальное поражение. Скакун унес мертвеца в лес и с тех пор бродит там, пугая лесорубов и крестьян.;A shocking event marked the end of the knight tournament. A famed knight, well-known for his noble deeds and exploits in years past, was fatally wounded in the last bout. His steed bolted away and now wanders the forest, still carrying his grim burden.;
Doctor_1_Healing;;Невероятный случай – один из пациентов лекаря (которому тот собирался отпиливать стопу из-за гнилой раны) сумел не только встать на обе ноги, но и убежать, не расплатившись!;A most unlikely event – one of the doctor's patients, who was about to have his leg amputated because of gangrene, walked – nay, ran away! Without paying!;
Doctor_1_Numb;;Говорят, местный врач открыл новое обезболивающее. Последние его пациенты, которым он удалял руки или ноги (или еще чего-нибудь) не чувствовали ничего!;They say the doctor discovered a new wondrous painkiller. His latest patients didn't even feel a thing while he was sawing away arms, legs and other extremities.;
Doctor_1_Poison_Curse;;В городе появились слухи, что местный врач затаил обиды на людей. Почему же еще им становится хуже после его операций, даже самых легких?;People are whispering that the good doctor is not so good after all. His patients are getting worse even after the simplest surgeries.;
Cultist_1;;Ночью с ближайшего озера раздавались крики и шум. Некоторые видели, как оно бурлило, несмотря на полное спокойствие в окрестностях. Кто-то заметил странное сине-зеленое свечение рядом с ним.;Last night screams and howls were heard from the lake. Some people saw waves and turmoil, despite the lack of wind. And a weird bluish-green glow.;
stolen_rooster_event.1;Куси ее!;На дальней ферме воровку собаки порвали. Полезла через забор, чтобы петуха соседского украсть, и шмякнулась в крапиву. А псы только того и ждали.;A bird thief got torn up by dogs. She fell into the nettle while climbing the fence to steal a certain golden rooster. The beasts were waiting.;
stolen_rooster_event.2;Воровка;До вас доходят слухи, что на дальних фермах одна из местных пыталась выкрасть золотого петуха у соседки, но, едва прикоснулась к нему, оскудела рассудком. Хозяйка пожалела бестолковую и взяла к себе – ходить за поросятами.;You've heard a rumor about a local girl who tried to steal a golden rooster from her neighbor, but lost her mind the moment she touched it. The neighbor felt sorry for her and took her in, to look after the pigs.;
СowPerforming;;Сольные выступления местной коровы быстро набирают популярность.;Local singing cow quickly becomes more and more popular among the masses.;
CowLost;;У одной бедной женщины пропала корова – она нигде не может ее найти.;Some poor woman lost her cow and can't find her anywhere.;
CowForgotMilk;;У одной бедной женщины корова вдруг перестала давать молоко. Конечно же, люди винят в этом вас.;Some poor woman's cow went dry all of a sudden. Naturally, people blame you.;
FoolDied;;Скончался местный дурачок. Многие выразили соболезнования его семье, но вместе с тем вздохнули с облегчением – его «шуточки» достали многих.;The village fool has died. Some consoled his family but many breathed a sign of relief – his pranks annoyed everyone.;
SleepVillagerPoison;;В деревне умер приехавший из города мужичок. То ли воздух был слишком свежий, то ли к простой еде непривыкший был. Его брат говорит, что гость просто уснул и не проснулся. Грустно шутит, что «хоть в вечном сне тот не храпит», правда, по глазам видно, насколько ему не хватает этого храпа.;A visitor from the big city died in the village. Was it the fresh air or rough food that did him in? No one knows for sure. His brother says it happened in his sleep. He jokes that 'at least he ain't snoring now that he rests in peace' but the smile doesn't reach his eyes.;
SleepVillagerLaughter;;Местные нашли себе новое развлечение! Один мужик по ночам дает послушать, какие странные звуки издает его братец из города. То смешливо храпит, то хохотать во все горло начинает, даже с кровати скатиться может от хихиканья, а все не просыпается!;Locals' got a new favorite pastime. For lack of a better amusement they gather to watch a snoring man. His whimsical wheezes and giggling snorts are a laugh for the whole village. It's not often you see a sleeping man fall from his bed in a burst of laughter and keep sleeping.;
mary.91;;Одна из селянок летала в полночь голой на метле и хохотала как безумная. Вряд ли она ожидала, что инквизиторы так быстро ее поймают и бросят в темницу. Пусть теперь за решеткой посмеется.;This midnight a local girl was seen flying around on her broom. Stark naked and laughing wildly. The church took immediate actions and locked her up. Who is going to laugh now?;
mary.92;;Одна из селянок скакала в полночь голой на метле и хохотала как безумная. Наверное, съела или выпила чего-то не того.;A local girl took to running around with her broom, stark naked and laughing. Perhaps there's something in the water.;
mary.93;;Местная девушка была найдена мертвой в собственном доме, неестественно скрюченной и с застывшим в глазах ужасом. Горькая утрата, родные и друзья убиты горем.;A local girl was found dead in her room, with terror in her eyes and all twisted up. A shocking tragedy for her friends and relatives.;
MerchantReturned;;Благодаря вашему зелью, торговец смог улизнуть от бандитской засады, хоть и потерял часть товаров.;Thanks to your potion the merchant was able to dodge a bandits' ambush. He still lost part of his wares but saved his life.;
MerchantReturnedVeryWealthy;;Благодаря вашему зелью, торговец всю дорогу был начеку и смог улизнуть от бандитской засады. Он хорошо отблагодарил вас.;Thanks to your potion the merchant stayed sharp the whole way and dodged a bandits' ambush. He has paid you handsomely.;
MerchantDied;;Местный торговец так и не вернулся в деревню. Возможно, просто уехал в другой город. Но многие видели, как прямо перед пропажей он заходил к вам.;The merchant never returned to the village. Who knows, maybe he decided to move. But his visit to you right before he disappeared didn't go unnoticed and now people are talking.;
tavern.numb;;Хоть Густаф и потерял голос, но желание играть на лютне никуда не пропало. Теперь музыку он сопровождает мычанием. Иногда даже попадает в мелодию.;Gustav lost his voice but not his passion for music. He now moos instead of singing and even hits some notes right. Sometimes.;
tavern.memory;;Хозяин таверны благодарит вас за помощь. Бард действительно забыл дорогу в таверну в эту ночь и блуждал со своей лютней где-то на другой стороне города.;Tavern owner thanks you for help. The bard forgot his way to the tavern last night and wandered the city hugging his lute.;
tavern.voice-change;;Хоть голос у Густафа и стал более глубоким и чарующим, игрец на лютне из него все же был никакой.;Gustav's voice got deeper and more captivating, but he still couldn't hit a single note on his lute.;
tavern.sleep;;Хозяин таверны благодарит вас за помощь. Даже похрапывая на крыльце таверны, бард Густаф умудрялся фальшивить.;Tavern owner thanks you for help. Gustav slept on the porch the whole night, snoring out of tune.;
